chinese_name,english_name,points,assists,rebounds,steals,shot_rate,block
勒布朗-詹姆斯,LeBron James,27.2,7.2,7.4,1.6,50.4,0.8
斯蒂芬-库里,Stephen Curry,23.5,6.6,4.5,1.7,47.7,0.2
詹姆斯-哈登,James Harden,24.2,6.2,5.2,1.6,44.2,0.5
科比-布莱恩特,Kobe Bryant,25.0,4.7,5.2,1.4,44.7,0.5
凯文-杜兰特,Kevin Durant,27.1,4.1,7.1,1.1,49.2,1.1
拉塞尔-威斯布鲁克,Russell Westbrook,23.0,8.3,7.0,1.8,43.5,0.3
迈克尔-乔丹,Michael Jordan,30.1,5.3,6.2,2.3,49.7,0.8
沙奎尔-奥尼尔,Shaquille O'Neal,23.7,2.5,10.9,0.6,58.2,2.3
德维恩-韦德,Dwyane Wade,22.0,5.4,4.7,1.5,48.0,0.8
克里斯-保罗,Chris Paul,18.6,9.7,4.5,2.2,47.0,0.1
蒂姆-邓肯,Tim Duncan,19.0,3.0,10.8,0.7,50.6,2.2
姚明,Yao Ming,19.0,1.6,9.2,0.4,52.4,1.9
克莱-汤普森,Klay Thompson,19.6,2.3,3.5,0.9,46.0,0.5
德克-诺维茨基,Dirk Nowitzki,20.8,2.4,7.6,0.8,47.1,0.8
科怀-伦纳德,Kawhi Leonard,17.6,2.4,6.3,1.8,49.5,0.7
凯里-欧文,Kyrie Irving,22.2,5.7,3.6,1.3,46.5,0.3
卡梅罗-安东尼,Carmelo Anthony,24.0,3.0,6.5,1.0,44.9,0.5
安东尼-戴维斯,Anthony Davis,23.8,2.1,10.5,1.4,51.7,2.4
德怀特-霍华德,Dwight Howard,17.4,1.5,12.6,0.9,58.3,2.0
阿伦-艾弗森,Allen Iverson,26.7,6.2,3.7,2.2,42.5,0.2
保罗-乔治,Paul George,19.7,3.3,6.4,1.8,43.3,0.4
特雷西-麦克格雷迪,Tracy McGrady,19.6,4.4,5.6,1.2,43.5,0.9
扬尼斯-阿德托昆博,Giannis Antetokounmpo,18.6,4.1,8.2,1.2,52.0,1.3
达米安-利拉德,Damian Lillard,23.5,6.3,4.1,1.0,43.5,0.3
凯文-乐福,Kevin Love,18.3,2.3,11.3,0.7,44.2,0.5
凯文-加内特,Kevin Garnett,17.8,3.7,10.0,1.3,49.7,1.4
德雷蒙德-格林,Draymond Green,9.0,4.8,6.9,1.4,43.8,1.1
卡尔-安东尼-唐斯,Karl-Anthony Towns,22.2,2.6,11.8,0.8,53.9,1.5
德马库斯-考辛斯,DeMarcus Cousins,21.3,3.2,10.9,1.4,46.0,1.2
文斯-卡特,Vince Carter,17.2,3.2,4.4,1.0,43.7,0.6
德里克-罗斯,Derrick Rose,18.8,5.6,3.5,0.8,45.3,0.3
威尔特-张伯伦,Wilt Chamberlain,30.1,4.4,22.9, ,54.0, 
卡尔-马龙,Karl Malone,25.0,3.6,10.1,1.4,51.6,0.8
卡里姆-贾巴尔,Kareem Abdul-Jabbar,24.6,3.6,11.2, ,55.9, 
哈基姆-奥拉朱旺,Hakeem Olajuwon,21.8,2.5,11.1,1.7,51.2,3.1
德玛尔-德罗赞,DeMar DeRozan,19.9,3.4,4.3,1.0,45.1,0.3
保罗-加索尔,Pau Gasol,17.0,3.2,9.2,0.5,50.7,1.6
以赛亚-托马斯,Isaiah Thomas,18.6,5.1,2.5,0.9,43.8,0.1
拉玛库斯-阿尔德里奇,LaMarcus Aldridge,19.5,1.9,8.4,0.7,49.1,1.1
林书豪,Jeremy Lin,11.7,4.3,2.8,1.1,43.4,0.4
乔尔-恩比德,Joel Embiid,24.1,3.1,11.4,0.7,47.9,2.0
雷-阿伦,Ray Allen,18.9,3.4,4.1,1.1,45.2,0.2
史蒂夫-纳什,Steve Nash,14.3,8.5,3.0,0.7,49.0,0.1
布雷克-格里芬,Blake Griffin,21.8,4.4,9.0,0.9,50.3,0.5
拉简-朗多,Rajon Rondo,10.4,8.4,4.8,1.7,46.1,0.1
德安德鲁-乔丹,DeAndre Jordan,9.6,0.9,10.9,0.6,67.0,1.6
约翰-沃尔,John Wall,19.0,9.2,4.3,1.7,43.3,0.7
埃尔文-约翰逊,Magic Johnson,19.5,11.2,7.2,1.9,52.0,0.4
托尼-帕克,Tony Parker,15.5,5.6,2.7,0.8,49.1,0.1
马努-吉诺比利,Manu Ginobili,13.3,3.8,3.5,1.3,44.7,0.3
吉米-巴特勒,Jimmy Butler,16.7,3.4,4.9,1.6,45.5,0.5
安德鲁-威金斯,Andrew Wiggins,19.4,2.1,4.2,1.0,43.9,0.6
保罗-皮尔斯,Paul Pierce,19.7,3.5,5.6,1.3,44.5,0.6
凯尔-洛瑞,Kyle Lowry,14.5,6.1,4.3,1.3,42.4,0.3
安德烈-德拉蒙德,Andre Drummond,14.1,1.1,13.6,1.3,54.2,1.5
杰森-基德,Jason Kidd,12.6,8.7,6.3,1.9,40.0,0.3
斯科蒂-皮蓬,Scottie Pippen,16.1,5.2,6.4,2.0,47.3,0.8
凯尔-科沃尔,Kyle Korver,9.9,1.7,3.0,0.7,44.3,0.3
安德烈-伊格达拉,Andre Iguodala,12.2,4.4,5.1,1.5,46.6,0.5
丹尼斯-罗德曼,Dennis Rodman,7.3,1.8,13.1,0.7,52.1,0.6
