team_name,year,stat_num
金州勇士,2016,4
休斯顿火箭,2016,1
多伦多猛龙,2016,2
波士顿凯尔特人,2016,1
波特兰开拓者,2016,0
费城76人,2016,0
俄克拉荷马雷霆,2016,1
印第安纳步行者,2016,1
犹他爵士,2016,1
密尔沃基雄鹿,2016,1
克里夫兰骑士,2016,2
圣安东尼奥马刺,2016,1
迈阿密热火,2016,0
洛杉矶快船,2016,1
丹佛掘金,2016,0
新奥尔良鹈鹕,2016,2
明尼苏达森林狼,2016,0
洛杉矶湖人,2016,0
达拉斯独行侠,2016,0
孟菲斯灰熊,2016,1
芝加哥公牛,2016,1
底特律活塞,2016,0
夏洛特黄蜂,2016,1
华盛顿奇才,2016,1
奥兰多魔术,2016,0
布鲁克林篮网,2016,0
萨克拉门托国王,2016,0
亚特兰大老鹰,2016,1
纽约尼克斯,2016,1
菲尼克斯太阳,2016,0
金州勇士,2017,4
休斯顿火箭,2017,0
多伦多猛龙,2017,2
波士顿凯尔特人,2017,2
波特兰开拓者,2017,1
费城76人,2017,1
俄克拉荷马雷霆,2017,2
印第安纳步行者,2017,1
犹他爵士,2017,0
密尔沃基雄鹿,2017,1
克里夫兰骑士,2017,1
圣安东尼奥马刺,2017,1
迈阿密热火,2017,1
洛杉矶快船,2017,0
丹佛掘金,2017,0
新奥尔良鹈鹕,2017,1
明尼苏达森林狼,2017,1
洛杉矶湖人,2017,0
达拉斯独行侠,2017,0
孟菲斯灰熊,2017,0
芝加哥公牛,2017,0
底特律活塞,2017,1
夏洛特黄蜂,2017,1
华盛顿奇才,2017,1
奥兰多魔术,2017,0
布鲁克林篮网,2017,0
萨克拉门托国王,2017,0
亚特兰大老鹰,2017,0
纽约尼克斯,2017,0
菲尼克斯太阳,2017,0
金州勇士,2018,4
休斯顿火箭,2018,1
多伦多猛龙,2018,2
波士顿凯尔特人,2018,1
波特兰开拓者,2018,1
费城76人,2018,2
俄克拉荷马雷霆,2018,2
印第安纳步行者,2018,1
犹他爵士,2018,0
密尔沃基雄鹿,2018,2
克里夫兰骑士,2018,0
圣安东尼奥马刺,2018,1
迈阿密热火,2018,1
洛杉矶快船,2018,0
丹佛掘金,2018,1
新奥尔良鹈鹕,2018,1
明尼苏达森林狼,2018,1
洛杉矶湖人,2018,1
达拉斯独行侠,2018,1
孟菲斯灰熊,2018,0
芝加哥公牛,2018,0
底特律活塞,2018,1
夏洛特黄蜂,2018,1
华盛顿奇才,2018,1
奥兰多魔术,2018,1
布鲁克林篮网,2018,1
萨克拉门托国王,2018,0
亚特兰大老鹰,2018,0
纽约尼克斯,2018,0
菲尼克斯太阳,2018,0
